# run 2 computed 2026-09-07 19:06:46+00:00 · scoring: party_size=2 service=dinner grid=30min min_nights=2
rank,venue_id,name,neighborhood,cuisine,price,score,days_scored,taken_total,boxes_total,far_out_open_boxes,excluded,reason,evidence,rating_tier,rating_avg,rating_count,url,taken_over_boxes_2026-09-08,taken_over_boxes_2026-09-09,taken_over_boxes_2026-09-10,taken_over_boxes_2026-09-11,taken_over_boxes_2026-09-12,taken_over_boxes_2026-09-13,taken_over_boxes_2026-09-14,open_times_2026-09-08,open_times_2026-09-09,open_times_2026-09-10,open_times_2026-09-11,open_times_2026-09-12,open_times_2026-09-13,open_times_2026-09-14
94,13912,Basil Thai Restaurant & Bar,SOMA,Thai,$,0.026,7,2,67,9,0,,,B,4.6341,522,https://resy.com/cities/san-francisco-ca/venues/basil-thai-restaurant-and-bar,0/9,0/9,0/9,1/11,1/11,0/9,0/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
95,28462,Good Good Culture Club,The Mission,Asian,$$,0.0222,5,1,46,8,0,,,B,4.62064,5533,https://resy.com/cities/san-francisco-ca/venues/good-good-culture-club,1/9,0/9,0/9,0/10,,,0/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
96,66619,The Red Window,North Beach,European,$$,0.0204,7,2,83,11,0,,,C,4.51016,935,https://resy.com/cities/san-francisco-ca/venues/the-red-window,0/11,0/11,0/11,1/14,1/14,0/11,0/11,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
97,96136,Causwells SF,Marina District,New American,$,0.0185,6,1,57,0,0,,,A,4.74123,228,https://resy.com/cities/san-francisco-ca/venues/causwells,0/8,0/8,0/10,0/11,0/11,1/9,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,
98,85778,Modi,Financial District,Spooky Italian,$,0.0159,7,1,93,14,0,,,D,4.32761,699,https://resy.com/cities/san-francisco-ca/venues/modi,0/14,0/14,0/14,0/14,0/14,1/9,0/14,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30
99,60774,DamnFine,Outer Sunset,Pizza,$,0.013,7,1,79,11,0,,,A,4.72134,1823,https://resy.com/cities/san-francisco-ca/venues/damnfine,0/11,0/11,0/11,0/12,0/12,1/11,0/11,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
100,73390,Barberio Osteria,The Mission,Italian,$$,0.0,6,0,48,8,0,,,B,4.6955,844,https://resy.com/cities/san-francisco-ca/venues/barberio-osteria,0/8,0/8,0/8,0/8,0/8,,0/8,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
101,93609,"Benihana - San Francisco, CA",San Francisco,Japanese,$$,0.0,7,0,109,15,0,,,F,3.96491,57,https://resy.com/cities/san-francisco-ca/venues/benihana-san-francisco-ca,0/15,0/15,0/15,0/17,0/17,0/15,0/15,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00
102,39437,Brenda's Meat & Three,Nopa/Western Addition,Southern,$,0.0,7,0,56,8,0,,,A,4.79878,3434,https://resy.com/cities/san-francisco-ca/venues/brendas-meat-and-three,0/8,0/8,0/8,0/8,0/8,0/8,0/8,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
103,94789,Aliment,Nob Hill,New American,$,0.0,6,0,57,9,0,,,C,4.51923,52,https://resy.com/cities/san-francisco-ca/venues/aliment,0/9,0/9,0/10,0/10,0/10,,0/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
104,96353,Tahona Mercado,Nob Hill,Mexican,$$,0.0,5,0,50,10,0,,,B,4.69231,26,https://resy.com/cities/san-francisco-ca/venues/tahona-mercado,0/10,,0/10,0/10,0/10,,0/10,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30
105,92843,Aíso,San Francisco,Vegan & Plant-based,$,0.0,7,0,74,10,0,,,A,4.77395,261,https://resy.com/cities/san-francisco-ca/venues/aiso,0/10,0/10,0/10,0/10,0/12,0/12,0/10,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30
106,60879,Poesia Osteria Italiana,San Francisco,Italian,$,0.0,7,0,65,9,0,,,A,4.81434,1869,https://resy.com/cities/san-francisco-ca/venues/poesia-osteria-italiana,0/9,0/9,0/9,0/10,0/10,0/9,0/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
107,66737,Pinsa Rossa,San Francisco,Pizza,$$,0.0,7,0,60,8,0,,,A,4.70502,956,https://resy.com/cities/san-francisco-ca/venues/pinsa-rossa,0/8,0/8,0/8,0/10,0/10,0/8,0/8,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00
108,73167,E&O Kitchen and Bar,Union Square,Asian,$,0.0,5,0,45,0,0,,,C,4.52973,740,https://resy.com/cities/san-francisco-ca/venues/eando-kitchen-and-bar,0/9,0/9,0/9,0/9,0/9,,,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,,
109,95055,Pasta Panino,San Francisco,Italian,$,0.0,7,0,63,0,0,,,C,4.54286,35,https://resy.com/cities/san-francisco-ca/venues/pasta-panino,0/9,0/9,0/9,0/9,0/9,0/9,0/9,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00
110,10281,MERKADO SAN FRANCISCO,Mexican,Mexican,$$,0.0,5,0,50,0,0,,,D,4.38146,755,https://resy.com/cities/san-francisco-ca/venues/merkado,0/10,0/10,0/10,0/10,0/10,,,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,,
111,94120,Laughing Monk,NOPA,Gastropub,$,0.0,7,0,70,10,0,,,F,3.85714,49,https://resy.com/cities/san-francisco-ca/venues/laughing-monk,0/10,0/10,0/10,0/10,0/10,0/10,0/10,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
112,66668,Cavaña,Mission Bay,Modern Latin,$$,0.0,7,0,104,0,0,,,B,4.62567,187,https://resy.com/cities/san-francisco-ca/venues/cavana,0/14,0/14,0/14,0/15,0/19,0/14,0/14,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30
113,53085,Schroeder's Restaurant,Downtown - Financial District,German,$$,0.0,5,0,45,9,0,,,B,4.60969,392,https://resy.com/cities/san-francisco-ca/venues/schroeders-restaurant,0/9,0/9,0/9,0/9,,,0/9,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,,,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00
114,49281,San Francisco Wine Society,Financial District,Wine Bar,$$,0.0,6,0,76,11,0,,,S,4.85657,502,https://resy.com/cities/san-francisco-ca/venues/san-francisco-wine-society,0/13,0/13,0/13,0/13,0/13,,0/11,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
115,58566,The Stinking Rose,North Beach,Italian,$,0.0,7,0,67,9,0,,,D,4.32481,3402,https://resy.com/cities/san-francisco-ca/venues/the-stinking-rose-san-francisco,0/9,0/9,0/9,0/11,0/11,0/9,0/9,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00
116,69160,Inovino,Cole Valley,Italian,$$$,0.0,7,0,70,10,0,,,C,4.52035,344,https://resy.com/cities/san-francisco-ca/venues/inovino,0/10,0/10,0/10,0/10,0/10,0/10,0/10,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30
117,90836,Memento SF,Noe Valley San Francisco,Modern,$$,0.0,5,0,42,0,0,,,C,4.51899,79,https://resy.com/cities/san-francisco-ca/venues/memento-sf,0/8,0/8,0/8,0/9,0/9,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,,
118,97874,Cha Cha Cha,Haight-Ashbury,Caribbean,$,0.0,7,0,91,13,0,,,,4.5625,16,https://resy.com/cities/san-francisco-ca/venues/cha-cha-cha-ca,0/13,0/13,0/13,0/13,0/13,0/13,0/13,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00
119,85709,Milos Meze,Marina,Greek,$$,0.0,4,0,46,0,0,,,S,4.85714,28,https://resy.com/cities/san-francisco-ca/venues/milos-meze,0/11,0/11,0/11,0/13,,,,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,,,
120,83012,The Rabbit Hole,Bernal Heights,Asian American,$,0.0,7,0,54,8,0,,,B,4.63551,214,https://resy.com/cities/san-francisco-ca/venues/the-rabbit-hole,0/8,0/8,0/8,0/8,0/8,0/6,0/8,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
121,86435,Piccino Presidio,San Francisco,Italian,$$,0.0,6,0,54,9,0,,,C,4.50758,2309,https://resy.com/cities/san-francisco-ca/venues/piccino-presidio,0/9,0/9,0/9,0/9,0/9,,0/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
122,64870,Colibri Mexican Bistro,Presidio Park,Mexican,$$,0.0,7,0,81,10,0,,,C,4.48612,4468,https://resy.com/cities/san-francisco-ca/venues/colibri-mexican-bistro,0/10,0/10,0/10,0/13,0/15,0/13,0/10,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
123,93303,IPOT,San Francisco,Asian American,$,0.0,7,0,84,12,0,,,F,3.72131,61,https://resy.com/cities/san-francisco-ca/venues/ipot,0/12,0/12,0/12,0/12,0/12,0/12,0/12,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30
124,95979,Camber,Oyster Point,Californian,$,0.0,3,0,30,0,0,,,D,4.29412,34,https://resy.com/cities/san-francisco-ca/venues/camber,0/10,0/10,,0/10,,,,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,,,
125,6512,Watershed Restaurant,Mill Valley,Californian,$,0.0,7,0,66,9,0,,,C,4.46425,1818,https://resy.com/cities/san-francisco-ca/venues/watershed-restaurant,0/9,0/9,0/10,0/10,0/10,0/9,0/9,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00
126,3642,Va de Vi Bistro & Wine Bar,Walnut Creek,Tapas,$$,0.0,7,0,49,7,0,,,A,4.77841,12189,https://resy.com/cities/san-francisco-ca/venues/va-de-vi-bistro-and-wine-bar,0/7,0/7,0/7,0/7,0/7,0/7,0/7,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00
127,99233,Per Diem - Transit Center,San Francisco,Contemporary American,$,0.0,2,0,14,7,0,,,,5.0,0,https://resy.com/cities/san-francisco-ca/venues/per-diem-transit-center,,,,0/7,,,0/7,,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00
128,76449,Firenze by Night,North Beach,Italian,$$,0.0,5,0,44,0,0,,,A,4.78203,1046,https://resy.com/cities/san-francisco-ca/venues/firenze-by-night,,0/8,0/8,0/10,0/10,0/8,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,
129,3187,Trattoria Contadina,North Beach,Italian,$$,0.0,5,0,45,0,0,,,A,4.81854,5803,https://resy.com/cities/san-francisco-ca/venues/trattoria-contadina,,0/9,0/9,0/9,0/9,0/9,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,
130,74561,Cantina Los Mayas,Inner Richmond,Mexican,$$,0.0,5,0,44,0,0,,,A,4.74724,724,https://resy.com/cities/san-francisco-ca/venues/cantina-los-mayas,,0/8,0/8,0/10,0/10,0/8,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,
131,3267,Heritage Restaurant and Bar,Inner Richmond,American,$$,0.0,5,0,59,0,0,,,B,4.68101,1070,https://resy.com/cities/san-francisco-ca/venues/heritage-restaurant-and-bar,,0/11,0/11,0/13,0/13,0/11,,,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,
